"","Cow","QTR","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","DOCult1","DOCult2","PCCult1","PCCult2","PCSampDIM","IMIDO","IMIPC","Cure","NewIMI"
"481",7.89207842124812,"RF",2,2018-06-28,"Lockout",51.4144736842105,"2",2017-05-24,20.41164,400,5.57972982598622,7.793999089504,"1",2018-08-11,44,"No Growth",NA,"No Growth",NA,6,0,0,NA,0
"482",7.89207842124812,"RR",2,2018-06-28,"Lockout",51.4144736842105,"2",2017-05-24,20.41164,400,5.57972982598622,7.793999089504,"1",2018-08-11,44,"No Growth",NA,"No Growth",NA,6,0,0,NA,0
"483",7.89207842124812,"LF",5,2018-08-15,"Lockout",45.1315789473684,"2",2017-10-30,22.6796,289,5.11799381241676,6.06378520868761,"0",2018-09-30,46,"No Growth",NA,"No Growth",NA,3,0,0,NA,0
"484",7.89207842124812,"LR",5,2018-08-15,"Lockout",45.1315789473684,"2",2017-10-30,22.6796,289,5.11799381241676,6.06378520868761,"0",2018-09-30,46,"Bacillus sp.",NA,"Staphylococcus sp.",NA,3,1,1,1,1
"485",7.89207842124812,"RF",5,2018-08-15,"Lockout",45.1315789473684,"2",2017-10-30,22.6796,289,5.11799381241676,6.06378520868761,"0",2018-09-30,46,"No Growth",NA,"Bacillus sp.",NA,3,0,1,NA,1
"486",7.89207842124812,"RR",5,2018-08-15,"Lockout",45.1315789473684,"2",2017-10-30,22.6796,289,5.11799381241676,6.06378520868761,"0",2018-09-30,46,"Staphylococcus chromogenes",NA,"No Growth",NA,3,1,0,1,0
"487",7.89282552625112,"LF",5,2018-08-15,"Orbeseal",35.0657894736842,"1",2017-08-16,21.318824,364,0,5.57215403217776,"0",2018-10-16,62,"No Growth",NA,"No Growth",NA,8,0,0,NA,0
"488",7.89282552625112,"LR",5,2018-08-15,"Orbeseal",35.0657894736842,"1",2017-08-16,21.318824,364,0,5.57215403217776,"0",2018-10-16,62,"No Growth",NA,"No Growth",NA,8,0,0,NA,0
"489",7.89282552625112,"RF",5,2018-08-15,"Orbeseal",35.0657894736842,"1",2017-08-16,21.318824,364,0,5.57215403217776,"0",2018-10-16,62,"Staphylococcus chromogenes","Streptococcus uberis","No Growth",NA,8,1,0,1,0
"490",7.89282552625112,"RR",5,2018-08-15,"Orbeseal",35.0657894736842,"1",2017-08-16,21.318824,364,0,5.57215403217776,"0",2018-10-16,62,"No Growth",NA,"No Growth",NA,8,0,0,NA,0
"491",7.8935720735049,"LF",5,2018-08-22,"Orbeseal",31.875,"1",2017-10-27,26.308336,299,3.25809653802148,6.1463292576689,"0",2018-10-13,52,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"492",7.8935720735049,"LR",5,2018-08-22,"Orbeseal",31.875,"1",2017-10-27,26.308336,299,3.25809653802148,6.1463292576689,"0",2018-10-13,52,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"493",7.8935720735049,"RF",5,2018-08-22,"Orbeseal",31.875,"1",2017-10-27,26.308336,299,3.25809653802148,6.1463292576689,"0",2018-10-13,52,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"494",7.8935720735049,"RR",5,2018-08-22,"Orbeseal",31.875,"1",2017-10-27,26.308336,299,3.25809653802148,6.1463292576689,"0",2018-10-13,52,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"495",7.89469085042562,"LF",5,2018-08-22,"Lockout",42.8947368421053,"2",2017-11-08,17.236496,287,5.33753807970132,6.96790920180188,"0",2018-10-29,68,"Staphylococcus chromogenes",NA,"No Growth",NA,9,1,0,1,0
"496",7.89469085042562,"LR",5,2018-08-22,"Lockout",42.8947368421053,"2",2017-11-08,17.236496,287,5.33753807970132,6.96790920180188,"0",2018-10-29,68,"No Growth",NA,"No Growth",NA,9,0,0,NA,0
