"","Cow","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","SCC","MY","TestDIMcat20"
"1570",10.271354630229,3,2018-07-17,"1",34.4078947368421,"1",2017-08-02,27.669112,349,3.13549421592915,6.91473089271856,"0",2018-09-18,63,2.484906649788,55.791816,"0-20"
"1571",10.2713892400893,3,2018-08-07,"0",35.0986842105263,"1",2017-08-19,31.75144,353,4.66343909411207,5.18738580584075,"0",2018-10-17,71,2.30258509299405,46.266384,"21-40"
"1572",10.2713892400893,3,2018-08-07,"0",35.0986842105263,"1",2017-08-19,31.75144,353,4.66343909411207,5.18738580584075,"0",2018-10-17,71,4.35670882668959,47.62716,"61-80"
"1573",10.2713892400893,3,2018-08-07,"0",35.0986842105263,"1",2017-08-19,31.75144,353,4.66343909411207,5.18738580584075,"0",2018-10-17,71,2.70805020110221,54.884632,"41-60"
"1574",10.2730836575634,3,2018-07-17,"0",34.1447368421053,"1",2017-10-06,31.75144,284,2.99573227355399,2.99573227355399,"0",2018-09-21,66,2.484906649788,40.82328,"0-20"
"1575",10.2730836575634,3,2018-07-17,"0",34.1447368421053,"1",2017-10-06,31.75144,284,2.99573227355399,2.99573227355399,"0",2018-09-21,66,2.30258509299405,51.255896,"41-60"
"1576",10.2730836575634,3,2018-07-17,"0",34.1447368421053,"1",2017-10-06,31.75144,284,2.99573227355399,2.99573227355399,"0",2018-09-21,66,2.63905732961526,48.987936,"61-80"
"1577",10.2733945652436,3,2018-07-24,"1",34.3092105263158,"1",2017-09-18,25.401152,309,7.99226864327075,7.99226864327075,"0",2018-09-14,52,4.66343909411207,48.987936,"41-60"
"1578",10.2733945652436,3,2018-07-24,"1",34.3092105263158,"1",2017-09-18,25.401152,309,7.99226864327075,7.99226864327075,"0",2018-09-14,52,4.24849524204936,50.802304,"81-100"
"1579",10.2733945652436,3,2018-07-24,"1",34.3092105263158,"1",2017-09-18,25.401152,309,7.99226864327075,7.99226864327075,"0",2018-09-14,52,5.06890420222023,38.101728,"0-20"
"1580",10.2749821410731,3,2018-07-17,"0",33.8486842105263,"1",2017-09-24,48.080752,296,6.1463292576689,6.40025744530882,"1",2018-09-23,68,2.63905732961526,71.667536,"41-60"
"1581",10.2749821410731,3,2018-07-17,"0",33.8486842105263,"1",2017-09-24,48.080752,296,6.1463292576689,6.40025744530882,"1",2018-09-23,68,5.98896141688986,63.50288,"61-80"
"1582",10.2749821410731,3,2018-07-17,"0",33.8486842105263,"1",2017-09-24,48.080752,296,6.1463292576689,6.40025744530882,"1",2018-09-23,68,3.55534806148941,45.812792,"0-20"
"1583",10.2750511089686,3,2018-07-17,"0",33.8486842105263,"1",2017-07-21,43.998424,361,5.05624580534831,5.05624580534831,"0",2018-09-12,57,2.83321334405622,44.452016,"81-100"
"1584",10.2750511089686,3,2018-07-17,"0",33.8486842105263,"1",2017-07-21,43.998424,361,5.05624580534831,5.05624580534831,"0",2018-09-12,57,4.77068462446567,25.401152,"41-60"
"1585",10.2750511089686,3,2018-07-17,"0",33.8486842105263,"1",2017-07-21,43.998424,361,5.05624580534831,5.05624580534831,"0",2018-09-12,57,3.89182029811063,53.070264,"21-40"
"1586",10.275809442051,3,2018-08-14,"0",34.671052631579,"1",2017-07-16,19.050864,394,4.85981240436167,8.50248556254396,"1",2018-10-14,61,4.48863636973214,48.534344,"41-60"
"1587",10.275809442051,3,2018-08-14,"0",34.671052631579,"1",2017-07-16,19.050864,394,4.85981240436167,8.50248556254396,"1",2018-10-14,61,4.82028156560504,43.998424,"61-80"
"1588",10.275809442051,3,2018-08-14,"0",34.671052631579,"1",2017-07-16,19.050864,394,4.85981240436167,8.50248556254396,"1",2018-10-14,61,4.17438726989564,44.452016,"21-40"
"1589",10.2764983370907,3,2018-07-24,"0",33.8815789473684,"1",2017-07-20,31.75144,369,7.39694860262101,7.39694860262101,"1",2018-09-12,50,3.17805383034795,56.245408,"21-40"
"1590",10.2764983370907,3,2018-07-24,"0",33.8815789473684,"1",2017-07-20,31.75144,369,7.39694860262101,7.39694860262101,"1",2018-09-12,50,5.45958551414416,53.977448,"81-100"
"1591",10.2764983370907,3,2018-07-24,"0",33.8815789473684,"1",2017-07-20,31.75144,369,7.39694860262101,7.39694860262101,"1",2018-09-12,50,2.39789527279837,57.152592,"41-60"
"1592",10.2773243851861,3,2018-07-24,"1",33.8157894736842,"1",2017-10-22,40.82328,275,3.52636052461616,6.03787091992214,"1",2018-09-22,60,3.3322045101752,46.266384,"61-80"
"1593",10.2773243851861,3,2018-07-24,"1",33.8157894736842,"1",2017-10-22,40.82328,275,3.52636052461616,6.03787091992214,"1",2018-09-22,60,3.52636052461616,23.586784,"0-20"
"1594",10.2773243851861,3,2018-07-24,"1",33.8157894736842,"1",2017-10-22,40.82328,275,3.52636052461616,6.03787091992214,"1",2018-09-22,60,3.91202300542815,47.62716,"41-60"
"1595",10.2777371534914,3,2018-07-17,"1",33.5197368421053,"1",2017-07-20,23.586784,362,5.61312810638807,5.65248918026865,"1",2018-09-12,57,2.30258509299405,40.369688,"41-60"
"1596",10.2777371534914,3,2018-07-17,"1",33.5197368421053,"1",2017-07-20,23.586784,362,5.61312810638807,5.65248918026865,"1",2018-09-12,57,4.04305126783455,36.28736,"81-100"
"1597",10.2777371534914,3,2018-07-17,"1",33.5197368421053,"1",2017-07-20,23.586784,362,5.61312810638807,5.65248918026865,"1",2018-09-12,57,7.69575799055476,39.462504,"21-40"
"1598",10.2779434737699,3,2018-07-24,"0",33.7171052631579,"1",2017-07-12,34.472992,377,3.93182563272433,6.29156913955832,"1",2018-09-29,67,3.71357206670431,51.255896,"21-40"
"1599",10.2779434737699,3,2018-07-24,"0",33.7171052631579,"1",2017-07-12,34.472992,377,3.93182563272433,6.29156913955832,"1",2018-09-29,67,3.61091791264422,52.16308,"61-80"
"1600",10.2783216170908,3,2018-07-24,"0",33.6842105263158,"1",2017-09-20,24.493968,307,4.40671924726425,8.76295892076673,"1",2018-09-30,68,4.11087386417331,47.62716,"81-100"
"1601",10.2783216170908,3,2018-07-24,"0",33.6842105263158,"1",2017-09-20,24.493968,307,4.40671924726425,8.76295892076673,"1",2018-09-30,68,4.39444915467244,48.534344,"61-80"
