"","Cow","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","RemDP","Rem2","Rem2TAR","CM2","CM2TAR"
"45",7.23273313617761,4,2018-08-20,"1",44.9342105263158,"2",2017-11-02,32.658624,291,4.26267987704132,6.5875500148248,"0",2018-10-15,56,0,0,100,0,100
"46",7.27724772663148,5,2018-08-22,"0",48.0921052631579,"2",2017-08-17,27.21552,370,4.57471097850338,5.64897423816121,"0",2018-10-16,55,0,0,100,0,100
"47",7.30518821539304,5,2018-08-15,"1",17.0065789473684,"4",2017-10-07,26.308336,312,7.4770384723197,7.4770384723197,"1",2018-09-26,42,0,1,49,1,28
"48",7.31654817718298,4,2018-08-20,"1",35.1973684210526,"1",2017-09-28,31.297848,326,3.85014760171006,4.99043258677874,"0",2018-10-17,58,0,0,100,0,100
"49",7.32580750259577,5,2018-08-22,"0",38.8157894736842,"1",2017-04-18,5.443104,491,5.38449506278909,5.38449506278909,"0",2018-10-11,50,0,0,100,0,100
"50",7.33953769540767,5,2018-08-22,"1",32.7631578947368,"1",2017-10-25,22.6796,301,3.93182563272433,5.15329159449778,"0",2018-10-08,47,0,0,100,0,100
"51",7.34858753092759,4,2018-08-20,"0",36.6776315789474,"1",2017-09-28,35.380176,326,5.60947179518496,5.60947179518496,"0",2018-11-01,73,0,0,100,0,100
"52",7.38956395367764,5,2018-08-15,"1",35.4276315789474,"1",2017-09-08,19.958048,341,2.94443897916644,4.79579054559674,"0",2018-10-06,52,0,0,100,0,100
"53",7.39264752072162,5,2018-08-15,"1",57.2368421052632,"3",2017-10-13,29.029888,306,3.04452243772342,3.91202300542815,"0",2018-10-05,51,0,1,87,1,67
"54",7.39756153552405,5,2018-08-15,"0",59.0131578947368,"3",2017-05-23,12.700576,449,4.44265125649032,8.55313931818971,"0",2018-10-03,49,0,0,100,0,100
